,brand,model,screen_size,ram,storage,cpu_model,operating_system,price,rating,review_count,graphic
0,Lenovo,IdeaPad Slim 5,14 Inches,16 GB,1 TB,Snapdragon,‎Windows 11 Home,74990.0,5.0,1,Integrated
1,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
2,HP,HP 255,15.6 Inches,8 GB,512 GB,Ryzen 5,‎DOS,29990.0,3.4,18,Integrated
3,Lenovo,Lenovo V15 G4,15.6 Inches,16 GB,512 GB,Ryzen 7,‎Windows 11,39990.0,4.0,89,Integrated
4,Lenovo,Lenovo V15,15.6 Inches,16 GB,512 GB,Core i7-1255U,‎Windows 11 Home,48490.0,3.4,12,Integrated
5,Lenovo,IdeaPad Slim 5,14 Inches,16 GB,1 TB,Snapdragon,‎Windows 11 Home,74990.0,5.0,1,Integrated
6,Lenovo,IdeaPad Slim,15 Inches,16 GB,512 GB,Intel Core i7,‎Windows 11 Home,66690.0,4.0,821,Integrated
7,MSI,Thin 15,40 Centimetres,16 GB,512 GB,Core i5,‎Windows 11 Home,61990.0,4.0,31,Dedicated
8,Lenovo,IdeaPad Slim 3,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,57390.0,4.2,3,Integrated
9,Apple,"15-inch MacBook Air (M4, 2025)",15.3 Inches,16 GB,No storage,Apple M4,No operating system,144900.0,5.0,1,Integrated
10,Apple,MacBook Air,13 Inches,8 GB,256 GB,Core M Family,‎macOS 10.14 Mojave,62990.0,4.6,6556,Integrated
11,Apple,MacBook Air,13 Inches,8 GB,256 GB,Core M Family,‎macOS 10.14 Mojave,62990.0,4.6,6556,Integrated
12,acer,Aspire Lite,15.6 Inches,16 GB,512 GB,Ryzen 5,‎Windows 11 Home,34490.0,4.0,1111,Integrated
13,acer,Z8-284,11.6 Inches,8 GB,256 GB,Celeron,‎Windows 11 Home,17990.0,3.0,20,Integrated
14,Jio,JioBook,11.6 Inches,4 GB,64 GB,Others,‎JioOS,12990.0,3.0,345,Integrated
15,Lenovo,82TS00PDLM,14 Inches,16 GB,512 GB,Core i5,‎Windows 11 Home,39980.0,3.0,1,Integrated
16,Lenovo,No model,15.6 Inches,,512 GB,Intel Core i5,‎Windows 11 Pro,24990.0,3.3,6,Integrated
17,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,56990.0,3.8,122,Integrated
18,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,AMD Ryzen 7,‎Windows 11,90190.0,-1.0,No review count,Dedicated
19,acer,Aspire 3,15.6 Inches,8 GB,512 GB,Celeron,‎Windows 11 Home,23990.0,3.4,265,Integrated
20,Apple,MacBook Air,13.6,8 GB,No storage,Others,No operating system,76990.0,4.4,53,Integrated
21,acer,Aspire 3,15.6 Inches,8 GB,256 GB,Celeron,‎Windows 11 Home,22990.0,3.4,265,Integrated
22,Apple,MacBook Air,13 Inches,8 GB,256 GB,Core M Family,‎macOS 10.14 Mojave,62990.0,4.6,6556,Integrated
23,ASUS,ASUS TUF Gaming,14 Inches,32 GB,2 TB,Ryzen 9,‎Windows 11 Home,164990.0,4.3,5,Dedicated
24,ASUS,ASUS Vivobook 16,16 Inches,16 GB,512 GB,Core i5-12500H,‎Windows 11 Home,53990.0,4.0,88,Integrated
25,Lenovo,IdeaPad,15.6 Inches,8 GB,512 GB,Celeron N4020,‎Windows 11 Home,24880.0,3.0,2,Integrated
26,HP,Victus Gaming Laptop,39.6 Centimetres,,512 GB,AMD Ryzen 5 5600X,‎Windows 11 Home,60990.0,4.1,233,Dedicated
27,Dell,E6440 Latitude,14 Inches,8 GB,500 GB,Core i5,‎Windows 7,16500.0,3.8,97,Integrated
28,Dell,Inspiron,15.6 Inches,8 GB,512 GB,Ryzen 5,‎Windows 11 Home,39490.0,4.0,16,Integrated
29,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,2690.0,4.5,96,Integrated
30,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,2690.0,4.5,96,Integrated
31,Lenovo,IdeaPad Slim 3,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,57390.0,4.2,3,Integrated
32,Lenovo,IdeaPad Slim 5,16 Inches,16 GB,512 GB,Core i5,‎Windows 11 Home,73190.0,2.9,45,Integrated
33,acer,Aspire Lite,15.6 Inches,8 GB,512 GB,Ryzen 3 5300U,‎Windows 11 Home,26990.0,4.0,1111,Integrated
34,ASUS,TUF Gaming F15,15.6 Inches,,512 GB,AMD Ryzen 7,‎Windows 11 Home,63990.0,4.0,471,Dedicated
35,Lenovo,IdeaPad 1 14IGL7,14 Inches,8 GB,512 GB,Celeron N4020,‎Windows 11 Home,20391.0,3.7,276,Integrated
36,Lenovo,IdeaPad Slim,15 Inches,16 GB,512 GB,Intel Core i7,‎Windows 11 Home,66690.0,4.0,821,Integrated
37,Apple,MacBook Air,13.6 Inches,16 GB,No storage,Unknown,No operating system,125990.0,4.6,111,Integrated
38,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11,72190.0,4.0,525,Dedicated
39,Lenovo,IdeaPad,14 Inches,8 GB,512 GB,Core i3,"‎Windows 11 Home 64, English",34990.0,4.0,493,Integrated
40,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,78190.0,4.0,257,Dedicated
41,Chuwi,HeroBook Pro,14.1 Inches,8 GB,256 GB,Celeron N4020,‎Windows 11,15990.0,3.5,3215,Integrated
42,Acer,Acer ALG,15.6 Inches,16 GB,Solid State,Core i5,‎Windows 11 Home,72398.0,-1.0,No review count,Dedicated
43,acer,Aspire 3,14 Inches,8 GB,512 GB,Celeron,‎Windows 11 Home,22990.0,3.4,265,Integrated
44,Lenovo,Lenovo V15 G2 IJL,15.6 Inches,8 GB,256 GB,Celeron,‎Windows 11 Home,21980.0,3.8,460,Integrated
45,Samsung,Galaxy Book2 Pro,13.3 Inches,16 GB,USB,Core i7,‎Windows 11 Home,95999.0,3.9,59,Integrated
46,Lenovo,IdeaPad Slim 5,14 Inches,16 GB,1 TB,Snapdragon,‎Windows 11 Home,74990.0,5.0,1,Integrated
47,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52890.0,3.9,488,Integrated
48,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,‎Windows 11 Home,33999.0,4.2,705,Integrated
49,acer,CB315-4H,15.6 Inches,8 GB,No storage,Celeron,‎Chrome OS,18990.0,3.5,100,Integrated
50,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,299.0,4.3,12714,Integrated
51,acer,Aspire 3,14 Inches,8 GB,256 GB,Celeron,‎Windows 11 Home,21990.0,3.4,265,Integrated
52,Tygot,No model,No screen size,No RAM,No storage,No CPU model,No operating system,299.0,4.4,1053,Integrated
53,Samsung,Galaxy Book3 Pro,35.56 Centimetres,16 GB,512 GB,Others,‎Windows 11 Home,97150.0,3.7,15,Integrated
54,Lenovo,IdeaPad,15.6 Inches,16 GB,512 GB,Ryzen 5,‎Windows 11 Home,39490.0,4.0,267,Integrated
55,STRIFF,No model,No screen size,No RAM,No storage,No CPU model,No operating system,249.0,4.3,38584,Integrated
56,Lenovo,IdeaPad Slim 5,14 Inches,16 GB,1 TB,Core i5,‎Windows 11 Home,80190.0,3.8,32,Integrated
57,Dell,dell Latitude 5420,14 Inches,256 GB,256 GB,Core i5 Family,‎Windows 10 Pro,34989.0,1.0,1,Integrated
58,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,2690.0,4.5,96,Integrated
59,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,2690.0,4.5,96,Integrated
60,MSI,Thin 15,40 Centimetres,16 GB,No storage,Core i7,‎Windows 11 Home,64990.0,3.9,3,Dedicated
61,MSI,Thin 15,40 Centimetres,16 GB,512 GB,Core i5,‎Windows 11 Home,61990.0,4.0,31,Dedicated
62,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,56990.0,3.8,122,Integrated
63,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,799.0,3.9,1354,Integrated
64,Lenovo,LOQ,15.6 Inches,24 GB,512 GB,Ryzen 5,‎Windows 11 Home,75156.0,5.0,1,Dedicated
65,Apple,MacBook Air,13.6 Inches,16 GB,No storage,Unknown,No operating system,116990.0,4.6,111,Integrated
66,Lenovo,IdeaPad,14 Inches,,512 GB,Core i3,"‎Windows 11 Home 64, English",35990.0,4.0,493,Integrated
67,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11,78190.0,4.0,257,Dedicated
68,Lenovo,IdeaPad,15.6 Inches,16 GB,512 GB,Ryzen 5,‎Windows 11 Home,39490.0,4.0,267,Integrated
69,HP,HP Laptop,15.6 Inches,8 GB,512 GB,Intel Core i3,‎Windows 11 Home,34990.0,3.8,99,Integrated
70,Lenovo,Legion 5,16 Inches,16 GB,1 TB,Intel Core i7,‎Windows 11 Home,169990.0,4.8,5,Dedicated
71,FUTOPIA,NU14U3CNC43BN-MB,14.1 Inches,4 GB,128 GB,Celeron N4020,‎windows home 11,12990.0,3.7,29,Integrated
72,ASUS,Vivobook Go 15 (2023),15.6 Inches,,512 GB,Ryzen 5,‎Windows 11 Home,40990.0,3.9,142,Integrated
73,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,‎Windows,30442.0,4.0,1506,Integrated
74,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52890.0,3.9,488,Integrated
75,MSI,Cyborg 14,36 Centimetres,8 GB,512 GB,Intel Core i5,‎Windows 11 Home,56990.0,5.0,1,Dedicated
76,Chuwi,GemiBook Plus,15.6 Inches,8 GB,256 GB,No CPU model,‎Windows 11,20990.0,3.5,321,Integrated
77,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,495.0,4.3,77434,Integrated
78,Acer,Aspire Lite,15.6 Inches,16 GB,Solid State,Intel Core i5,‎Windows 11 Home,51988.0,-1.0,No review count,Integrated
79,amazon basics,No model,No screen size,No RAM,No storage,No CPU model,No operating system,249.0,4.1,2466,Integrated
80,HP,245 G9,14 Inches,8 GB,512 GB,Ryzen 3 3250U,‎Windows 11 Pro,24890.0,3.3,15,Integrated
81,Lenovo,IdeaPad 3,15 Inches,16 GB,512 GB,Core i3,"‎Windows 11 Home 64, English",35950.0,4.1,1054,Integrated
82,HP,HP Victus,39.6 Centimetres,16 GB,1 TB,Intel Core i7,‎Windows 11 Home,89990.0,3.3,17,Dedicated
83,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
84,HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,52990.0,3.9,370,Integrated
85,Lenovo,IdeaPad Slim,15 Inches,16 GB,512 GB,Intel Core i7,‎Windows 11 Home,66690.0,4.0,821,Integrated
86,XPAC RAMON,No model,No screen size,No RAM,No storage,No CPU model,No operating system,499.0,-1.0,No review count,Integrated
87,XPAC RAMON,No model,No screen size,No RAM,No storage,No CPU model,No operating system,499.0,-1.0,No review count,Integrated
88,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,16 GB,No storage,Apple M4,No operating system,99900.0,-1.0,No review count,Integrated
89,MSI,Thin 15,40 Centimetres,8 GB,No storage,Core i5,‎Windows 11 Home,52990.0,2.5,5,Dedicated
90,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,‎Windows 11 Home,39250.0,4.1,1936,Integrated
91,HP,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,40.6,32 GB,1 TB,Intel Core Ultra 7,‎Windows 11 Professional,142000.0,5.0,1,Integrated
92,Lenovo,LOQ,15.6 Inches,,512 GB,Ryzen 7,‎Windows 11 Home,91690.0,4.2,31,Dedicated
93,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,299.0,4.3,12714,Integrated
94,HP,No model,14 Inches,32 GB,1 TB,Core i7,‎Windows 11 Home,144500.0,4.0,9,Integrated
95,EDNITA,No model,No screen size,No RAM,No storage,No CPU model,No operating system,198.0,4.2,126,Integrated
96,Microsoft,Surface Laptop,13.8 Inches,16 GB,512 GB,Snapdragon,‎Windows 11 Home,131990.0,5.0,3,Integrated
97,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Core i5,‎Windows 11 Home,57990.0,3.8,122,Integrated
98,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11,78190.0,4.0,257,Dedicated
99,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
